Type,Title,URL,Slug,Status,"Focus Keyword","SEO Title","Meta Description",Silo/Category,Words
"Money page",Australia,http://localhost/ukvisa/australia/,australia,publish,"australia eta uk citizens","Australia ETA & eVisitor for UK Citizens | UKVisaCo","British travellers need an ETA or eVisitor to visit Australia. Apply online quickly, understand which one suits you and travel with confidence.",,0
"Money page",Brazil,http://localhost/ukvisa/brazil/,brazil,publish,"brazil visa uk","Brazil: Visa-Free for UK Travellers | UKVisaCo","Brazil is visa-free for UK travellers for 90 days. Our guide covers entry rules, passport validity and what to check before you go.",,0
"Money page",Egypt,http://localhost/ukvisa/egypt/,egypt,publish,"egypt evisa uk citizens","Egypt eVisa for UK Citizens | Apply Online","British travellers need an eVisa for Egypt. Apply online in minutes, skip the queues and arrive ready to explore. Simple, fast guidance from UKVisaCo.",,0
"Money page",India,http://localhost/ukvisa/india/,india,publish,"india evisa uk citizens","India eVisa for UK Citizens | Apply Online","UK travellers need an eVisa to visit India. Apply online with clear step-by-step guidance, avoid common mistakes and get approved before you fly.",,0
"Money page",Kenya,http://localhost/ukvisa/kenya/,kenya,publish,"kenya eta uk","Kenya eTA for UK Travellers | Apply Online","UK travellers need a Kenya eTA. Apply online before you fly — our guide covers the cost, requirements and how it works.",,0
"Money page",Morocco,http://localhost/ukvisa/morocco/,morocco,publish,"morocco visa uk citizens","Morocco: Visa-Free for UK Citizens | UKVisaCo","Great news for British travellers: Morocco is visa-free for stays up to 90 days. Check your passport validity and entry requirements before you go.",,0
"Money page","Schengen Area",http://localhost/ukvisa/schengen/,schengen,publish,"schengen visa uk citizens","Schengen: Visa-Free for UK Citizens | UKVisaCo","British travellers enjoy visa-free Schengen access for 90 days in any 180. Understand the rules, count your days and travel Europe with ease.",,0
"Money page","Sri Lanka",http://localhost/ukvisa/sri-lanka/,sri-lanka,publish,"sri lanka eta uk","Sri Lanka ETA for UK Travellers | Apply","UK travellers need a Sri Lanka ETA (free from 2026). Apply online before you fly — our guide covers requirements and how it works.",,0
"Money page",Tanzania,http://localhost/ukvisa/tanzania/,tanzania,publish,"tanzania evisa uk","Tanzania eVisa for UK Travellers | Apply","UK travellers need a Tanzania eVisa. Apply online before your safari — clear guidance on cost, requirements and processing time.",,0
"Money page",Thailand,http://localhost/ukvisa/thailand/,thailand,publish,"thailand visa uk","Thailand Visa for UK Travellers | UKVisaCo","Thailand is visa-free for UK travellers for 60 days. Our guide covers entry rules, the arrival card and what to sort before you fly.",,0
"Money page",Turkey,http://localhost/ukvisa/turkey/,turkey,publish,"turkey visa uk citizens","Turkey: Visa-Free for UK Citizens | UKVisaCo","Good news for UK travellers: Turkey is visa-free for stays up to 90 days. Find out exactly what you need before you fly, plus passport and entry tips.",,0
"Money page","United Arab Emirates",http://localhost/ukvisa/uae/,uae,publish,"uae visa uk citizens","UAE: Visa-Free Entry for UK Citizens | UKVisaCo","UK travellers get visa-free entry to the UAE for short stays. Learn what Dubai and Abu Dhabi require at the border before your trip.",,0
"Money page","United States",http://localhost/ukvisa/usa/,usa,publish,"usa esta uk citizens","USA ESTA for UK Citizens | Apply Online","UK travellers need an ESTA to visit the USA visa-free. Apply online in minutes, understand the rules and get approved well before you fly.",,0
"Money page",Vietnam,http://localhost/ukvisa/vietnam/,vietnam,publish,"vietnam visa uk","Vietnam Visa & Entry for UK Travellers","UK travellers get 45 days visa-free in Vietnam; an eVisa covers longer stays. Clear guidance on entry rules and costs before you book.",,0
Guide/Post,"Hello world!",http://localhost/ukvisa/hello-world/,hello-world,publish,,,,Uncategorized,15
Guide/Post,"Smooth Egypt visa experience",http://localhost/ukvisa/smooth-egypt-visa-experience/,smooth-egypt-visa-experience,publish,,,,Testimonials,39
Page,"About Us",http://localhost/ukvisa/about/,about,publish,,,,,136
Page,"Apply for your visa",http://localhost/ukvisa/apply/,apply,publish,,,,,3
Page,"Best Time for a Tanzania Safari: Seasons Explained",http://localhost/ukvisa/best-time-for-tanzania-safari/,best-time-for-tanzania-safari,publish,"best time for a tanzania safari","Best Time for a Tanzania Safari: Seasons Explained",,,118
Page,"Best Time to Visit Egypt",http://localhost/ukvisa/best-time-to-visit-egypt/,best-time-to-visit-egypt,publish,"best time to visit egypt","Best Time to Visit Egypt | UKVisaCo","When is the best time to visit Egypt? Find the ideal months for weather, sightseeing and Nile cruises, with practical tips for UK travellers.",,130
Page,"Best Time to Visit Thailand: Month-by-Month Guide",http://localhost/ukvisa/best-time-to-visit-thailand/,best-time-to-visit-thailand,publish,"best time to visit thailand","Best Time to Visit Thailand: Month-by-Month Guide",,,126
Page,"Cambodia e-Visa for UK Citizens: How to Apply",http://localhost/ukvisa/cambodia-evisa-for-uk-citizens/,cambodia-evisa-for-uk-citizens,publish,"cambodia evisa for uk citizens","Cambodia e-Visa for UK Citizens: How to Apply","How UK citizens apply for the Cambodia tourist e-Visa online — documents, timing and what to expect on arrival.",,289
Page,"Canada eTA for UK Citizens Explained",http://localhost/ukvisa/canada-eta-for-uk-citizens/,canada-eta-for-uk-citizens,publish,"canada eta for uk citizens","Canada eTA for UK Citizens Explained","What the Canada eTA is for UK citizens, how it works and how to apply online before flying.",,276
Page,Contact,http://localhost/ukvisa/contact/,contact,publish,,,,,0
Page,"Do I Need a Visa? UK Visa Checker",http://localhost/ukvisa/do-i-need-a-visa/,do-i-need-a-visa,publish,"do i need a visa","Do I Need a Visa? Free Checker | UKVisaCo","Find out in seconds whether you need a visa, eVisa or ETA for your trip. Free visa requirements checker built for UK passport holders.",,30
Page,"Do I Need Vaccinations for India?",http://localhost/ukvisa/do-i-need-vaccinations-for-india/,do-i-need-vaccinations-for-india,publish,"vaccinations for india","Vaccinations for India: UK Travellers' Guide","Wondering which vaccinations you need for India? Our guide for UK travellers covers recommended jabs, timings and NHS advice before you fly.",,150
Page,"Driving in France: What UK Drivers Need (No IDP Required)",http://localhost/ukvisa/driving-in-france/,driving-in-france,publish,"driving in france uk licence","Driving in France: Do UK Drivers Need an IDP?","UK drivers don't need an IDP for France with a photocard licence. Learn what you do need, from insurance to kit, before you hit the road.",,186
Page,"Driving in the USA: Why UK Drivers Need a 1949 IDP",http://localhost/ukvisa/driving-in-usa/,driving-in-usa,publish,"driving in usa uk licence","Driving in the USA: IDP Guide for UK Drivers","Planning to drive in the USA? UK drivers may need a 1949 International Driving Permit. Learn the rules state by state before you travel.",,178
Page,"Driving in Turkey: Why UK Drivers Need a 1968 IDP",http://localhost/ukvisa/driving-in-turkey/,driving-in-turkey,publish,"driving in turkey uk licence","Driving in Turkey: IDP Guide for UK Drivers","Driving in Turkey? UK drivers need a 1968 International Driving Permit alongside their licence. Find out how to get one and what to carry.",,161
Page,"Dubai Dress Code for Tourists",http://localhost/ukvisa/dubai-dress-code-for-tourists/,dubai-dress-code-for-tourists,publish,"dubai dress code for tourists","Dubai Dress Code for Tourists | UKVisaCo","What should you wear in Dubai? Our dress code guide for UK travellers covers malls, beaches, mosques and dining so you pack with confidence.",,127
Page,"Egypt e-Visa vs Visa on Arrival for UK Travellers",http://localhost/ukvisa/egypt-evisa-vs-visa-on-arrival/,egypt-evisa-vs-visa-on-arrival,publish,"egypt evisa vs visa on arrival","Egypt e-Visa vs Visa on Arrival for UK Travellers","Compare Egypt's e-Visa and visa on arrival for UK travellers — how each works and which suits your trip.",,126
Page,"ESTA Denied for UK Travellers: Common Reasons",http://localhost/ukvisa/esta-denied-reasons-uk/,esta-denied-reasons-uk,publish,"esta denied for uk travellers","ESTA Denied for UK Travellers: Common Reasons","An ESTA can be denied for UK travellers due to past refusals, criminal history, or form errors. Here are the common reasons + what to do next.",,138
Page,"ESTA vs US Visa: What&#8217;s the Difference?",http://localhost/ukvisa/esta-vs-us-visa/,esta-vs-us-visa,publish,"esta vs us visa","ESTA vs US Visa: Which Do UK Travellers Need?","ESTA or US visa? We explain the difference for UK travellers, who qualifies for each and how to choose the right one before booking.",,158
Page,"ETA vs eVisa vs Visa: What UK Travellers Need to Know",http://localhost/ukvisa/eta-vs-evisa-vs-visa-uk/,eta-vs-evisa-vs-visa-uk,publish,"eta vs evisa vs visa uk","ETA vs eVisa vs Visa: What UK Travellers Need to Know","ETA vs eVisa vs traditional visa explained for UK travellers — what each is, examples, and how to tell which you need.",,293
Page,"ETIAS for UK Citizens: When It Starts &#038; What to Expect",http://localhost/ukvisa/etias-for-uk-citizens/,etias-for-uk-citizens,publish,"etias for uk citizens","ETIAS for UK Citizens: When It Starts & What to Expect","What ETIAS means for UK citizens visiting the Schengen area, when it starts and how the online authorisation will work.",,143
Page,"eVisa vs Visa on Arrival: Which Is Better for UK Travellers",http://localhost/ukvisa/evisa-vs-visa-on-arrival-uk/,evisa-vs-visa-on-arrival-uk,publish,"evisa vs visa on arrival uk","eVisa vs Visa on Arrival: Which Is Better for UK Travellers","How eVisas and visa on arrival differ for UK travellers, and which suits your trip — applied for online or at the airport.",,275
Page,FAQ,http://localhost/ukvisa/faq/,faq,publish,,,,,0
Page,"Hello Theme #6",http://localhost/ukvisa/?page_id=6,,draft,,,,,0
Page,Home,http://localhost/ukvisa/,home,publish,"uk travel visa","UK Visas, eVisas, ETAs & IDPs Made Easy | UKVisaCo","Get your visa, eVisa, ETA or international driving permit sorted before you travel. Clear guidance and fast applications for UK travellers worldwide.",,143
Page,"How It Works",http://localhost/ukvisa/how-it-works/,how-it-works,publish,,,,,186
Page,"How Long Is the Flight to Australia from the UK?",http://localhost/ukvisa/flight-time-uk-to-australia/,flight-time-uk-to-australia,publish,"flight time uk to australia","Flight Time from the UK to Australia | UKVisaCo","How long is the flight from the UK to Australia? Compare routes, stopovers and total journey times to plan your trip down under with ease.",,117
Page,"How to Apply for a Turkey e-Visa from the UK",http://localhost/ukvisa/turkey-evisa-how-to-apply/,turkey-evisa-how-to-apply,publish,"turkey evisa from the uk","How to Apply for a Turkey e-Visa from the UK","Turkey is visa-free for UK tourists up to 90 days — most British travellers no longer need a Turkey e-Visa. Here is what changed.",,128
Page,"How to Apply for a US ESTA from the UK",http://localhost/ukvisa/how-to-apply-us-esta-uk/,how-to-apply-us-esta-uk,publish,"us esta from the uk","How to Apply for a US ESTA from the UK","UK travellers need an approved ESTA to visit the USA visa-free. Here is how the ESTA application works and how long it lasts.",,119
Page,"How to Apply for an Australian ETA from the UK",http://localhost/ukvisa/australia-eta-how-to-apply-uk/,australia-eta-how-to-apply-uk,publish,"australian eta from the uk","How to Apply for an Australian ETA from the UK","UK citizens apply for an Australian ETA before flying, usually via the official app. Here is how the ETA process works.",,128
Page,"How to Apply for an India e-Visa for UK Citizens",http://localhost/ukvisa/india-evisa-how-to-apply-uk/,india-evisa-how-to-apply-uk,publish,"india evisa for uk citizens","How to Apply for an India e-Visa for UK Citizens","UK citizens apply for an India e-Visa online before travelling. Here is how the process works, category by category.",,116
Page,"India e-Visa Photo &#038; Document Requirements",http://localhost/ukvisa/india-evisa-photo-requirements/,india-evisa-photo-requirements,publish,"india evisa photo requirements","India e-Visa Photo & Document Requirements","India e-Visa applications need a square colour photo on a plain background + a clear passport bio-page scan. Full requirements here.",,95
Page,"Indonesia (Bali) Visa on Arrival vs e-VOA for UK Travellers",http://localhost/ukvisa/bali-indonesia-voa-vs-evoa-uk/,bali-indonesia-voa-vs-evoa-uk,publish,"indonesia bali voa vs evoa uk","Indonesia (Bali) Visa on Arrival vs e-VOA for UK Travellers","Compare Indonesia's visa on arrival and e-VOA for UK travellers to Bali — how each works and which to choose.",,246
Page,"International Driving Permit (IDP): Do You Need One &#038; How to Get It",http://localhost/ukvisa/international-driving-permit/,international-driving-permit,publish,"international driving permit","International Driving Permit (IDP) Guide | UKVisaCo","Do you need an International Driving Permit? UK drivers can get an IDP for £5.50 in person at PayPoint. Find out which one you need and how.",,391
Page,"Is Brazil Safe for Tourists? A Practical UK Guide",http://localhost/ukvisa/is-brazil-safe-for-tourists/,is-brazil-safe-for-tourists,publish,"is brazil safe for tourists","Is Brazil Safe for Tourists? A Practical UK Guide",,,133
Page,"Is Morocco Safe for Tourists?",http://localhost/ukvisa/is-morocco-safe-for-tourists/,is-morocco-safe-for-tourists,publish,"is morocco safe for tourists","Is Morocco Safe for Tourists? UK Travel Guide","Is Morocco safe for tourists? An honest guide for UK travellers covering safety, scams, local customs and practical tips for a smooth trip.",,135
Page,"Is Vietnam Safe for Tourists? An Honest UK Guide",http://localhost/ukvisa/is-vietnam-safe-for-tourists/,is-vietnam-safe-for-tourists,publish,"is vietnam safe for tourists","Is Vietnam Safe for Tourists? An Honest UK Guide",,,115
Page,"Kenya eTA for UK Citizens: How to Apply",http://localhost/ukvisa/kenya-eta-how-to-apply/,kenya-eta-how-to-apply,publish,"kenya eta for uk citizens","Kenya eTA for UK Citizens: How to Apply","How UK citizens apply for Kenya's electronic travel authorisation (eTA) — the steps, documents and timing.",,129
Page,"Kenya Safari Packing List: What UK Travellers Need",http://localhost/ukvisa/kenya-safari-packing-list/,kenya-safari-packing-list,publish,"kenya safari packing list","Kenya Safari Packing List: What UK Travellers Need",,,115
Page,"Middle East eVisa Hub for UK Travellers",http://localhost/ukvisa/middle-east-evisa-hub-uk/,middle-east-evisa-hub-uk,publish,"middle east evisa hub uk","Middle East eVisa Hub for UK Travellers","Middle East eVisa hub for UK travellers — country guides and tips for Saudi Arabia, Oman, Egypt and the UAE.",,293
Page,"New Zealand NZeTA &#038; IVL for UK Travellers",http://localhost/ukvisa/new-zealand-nzeta-ivl-uk/,new-zealand-nzeta-ivl-uk,publish,"new zealand nzeta ivl uk","New Zealand NZeTA & IVL for UK Travellers","What UK travellers need to know about New Zealand's NZeTA and the IVL levy — how they work and how to apply.",,287
Page,"Oman eVisa for UK Travellers: What to Know",http://localhost/ukvisa/oman-evisa-for-uk-travellers/,oman-evisa-for-uk-travellers,publish,"oman evisa for uk travellers","Oman eVisa for UK Travellers: What to Know","What UK travellers should know about the Oman eVisa — when it is needed, how to apply and timing.",,269
Page,"Passport Validity Rules by Country (UK Travellers)",http://localhost/ukvisa/passport-validity-rules-by-country/,passport-validity-rules-by-country,publish,"passport validity rules by country","Passport Validity Rules by Country (UK Travellers)","Many countries need six months' passport validity; Europe differs. How passport validity rules work for UK travellers.",,136
Page,Pricing,http://localhost/ukvisa/pricing/,pricing,publish,,,,,108
Page,"Privacy Policy",http://localhost/ukvisa/privacy-policy/,privacy-policy,publish,,,,,618
Page,"Privacy Policy",http://localhost/ukvisa/privacy/,privacy,publish,,,,,186
Page,"Refund Policy",http://localhost/ukvisa/refunds/,refunds,publish,,,,,128
Page,"Request a Callback",http://localhost/ukvisa/request-a-callback/,request-a-callback,publish,,,,,27
Page,"Sample Page",http://localhost/ukvisa/sample-page/,sample-page,publish,,,,,154
Page,"Saudi Arabia Tourist eVisa for UK Citizens",http://localhost/ukvisa/saudi-arabia-tourist-evisa-uk/,saudi-arabia-tourist-evisa-uk,publish,"saudi arabia tourist evisa uk","Saudi Arabia Tourist eVisa for UK Citizens","How UK citizens apply for the Saudi Arabia tourist eVisa online — validity, bundled insurance and timing.",,275
Page,"Schengen 90/180 Day Rule Explained",http://localhost/ukvisa/schengen-90-180-day-rule/,schengen-90-180-day-rule,publish,"schengen 90 180 day rule","Schengen 90/180 Day Rule Explained | UKVisaCo","Confused by the Schengen 90/180 day rule? We explain how it works for UK travellers, how to count your days and avoid overstaying in Europe.",,153
Page,"Single vs Multiple Entry Visas Explained (UK Travellers)",http://localhost/ukvisa/single-vs-multiple-entry-visas-uk/,single-vs-multiple-entry-visas-uk,publish,"single vs multiple entry visas uk","Single vs Multiple Entry Visas Explained (UK Travellers)","Single vs multiple entry visas explained for UK travellers — entries allowed, when each suits your trip, and how to choose.",,284
Page,"Southeast Asia Visa Guide for UK Travellers",http://localhost/ukvisa/southeast-asia-visa-guide-uk/,southeast-asia-visa-guide-uk,publish,"southeast asia visa guide uk","Southeast Asia Visa Guide for UK Travellers","Southeast Asia visa guide for UK travellers — entry rules and country guides for Thailand, Vietnam, Cambodia and Bali.",,305
Page,"Sri Lanka ETA for UK Citizens Explained",http://localhost/ukvisa/sri-lanka-eta-explained/,sri-lanka-eta-explained,publish,"sri lanka eta for uk citizens","Sri Lanka ETA for UK Citizens Explained","What the Sri Lanka ETA is, how UK citizens apply and what to expect on arrival, in plain English.",,129
Page,"Tanzania e-Visa for UK Travellers: How to Apply",http://localhost/ukvisa/tanzania-evisa-how-to-apply/,tanzania-evisa-how-to-apply,publish,"tanzania evisa for uk travellers","Tanzania e-Visa for UK Travellers: How to Apply","A step-by-step guide for UK travellers applying for the Tanzania e-Visa online — documents, timing and tips.",,122
Page,"Terms of Service",http://localhost/ukvisa/terms/,terms,publish,,,,,198
Page,"Thailand Digital Arrival Card (TDAC): How to Complete It",http://localhost/ukvisa/thailand-tdac-how-to/,thailand-tdac-how-to,publish,"thailand digital arrival card","Thailand Digital Arrival Card (TDAC): How to Complete It","A step-by-step guide to completing the free Thailand Digital Arrival Card (TDAC) online before you travel.",,116
Page,"Thailand Visa Exemption for UK Tourists: the 60-Day Rule",http://localhost/ukvisa/thailand-visa-exemption-uk/,thailand-visa-exemption-uk,publish,"thailand visa exemption uk","Thailand Visa Exemption for UK Tourists: the 60-Day Rule","How the Thailand visa exemption works for UK tourists — the 60-day stay, entry conditions and extensions.",,128
Page,"Things to Do in Side, Turkey",http://localhost/ukvisa/things-to-do-in-side-turkey/,things-to-do-in-side-turkey,publish,"things to do in side turkey","Best Things to Do in Side, Turkey | UKVisaCo","Discover the best things to do in Side, Turkey, from ancient ruins to golden beaches. A handy guide for UK travellers planning their trip.",,154
Page,"Things to Do in Sri Lanka: Top Experiences",http://localhost/ukvisa/things-to-do-in-sri-lanka/,things-to-do-in-sri-lanka,publish,"things to do in sri lanka","Things to Do in Sri Lanka: Top Experiences",,,108
Page,"Tourist vs Business Visa: Which Do UK Travellers Need",http://localhost/ukvisa/tourist-vs-business-visa-uk/,tourist-vs-business-visa-uk,publish,"tourist vs business visa uk","Tourist vs Business Visa: Which Do UK Travellers Need","Tourist vs business visa for UK travellers — what each covers, typical documents, and how to choose the right one.",,260
Page,"Track your application",http://localhost/ukvisa/track/,track,publish,,,,,2
Page,"UKV Section Preview",http://localhost/ukvisa/ukv-preview/,ukv-preview,publish,,,,,21
Page,"Vietnam Visa-Free vs e-Visa for UK Travellers",http://localhost/ukvisa/vietnam-visa-free-vs-evisa/,vietnam-visa-free-vs-evisa,publish,"vietnam visa-free vs evisa","Vietnam Visa-Free vs e-Visa for UK Travellers","Compare Vietnam's 45-day visa-free entry and the e-Visa for UK travellers to pick the right option.",,120
Page,"Visa Services",http://localhost/ukvisa/visa/,visa,publish,,,,,0
Page,"Visa-Free Countries for UK Citizens (2026)",http://localhost/ukvisa/visa-free-countries-uk-citizens/,visa-free-countries-uk-citizens,publish,"visa-free countries for uk citizens","Visa-Free Countries for UK Citizens (2026)","In 2026 UK citizens can visit many countries visa-free or with a simple travel authorisation. Where British passport holders can go.",,120
